"",Do you agree that the,Do you,agree that,a,,,Do you,agree that,a
"",support for research,strengthened,European,,,,strengthened,European,level
"",at a European level,level research,support,will,,,research support will contribute,,
"",should be,have an,important impact,,,,significantly,to Europe's,
"",strengthened?,on Europe's,research,,,,"competitiveness, social welfare",,
"",,capacities and capabilities?,,,,,and sustainability?,,
agree,56.4%,,56.7%,,,,,54.6%,
mostly agree,41.2%,,38.8%,,,,,37.5%,
mostly disagree,0.5%,,0.6%,,,,,1.0%,
disagree,0.9%,,0.4%,,,,,0.6%,
don't know,0.9%,,1.0%,,,,,2.3%,
Importance of,Creating European centres,Launching European,Stimulating the creativity of
the objective,of excellence through,technology initiatives,basic research through
"",collaboration between,,competition between teams
"",laboratories.,,at European level
very important,48.4%,41.9%,45.9%
Important,42.4%,44.1%,35.3%
not important,4.5%,6.3%,8.1%
Unnecessary,2.8%,1.5%,6.4%
don't know,1.3%,6.1%,4.2%
Importance of,Making Europe more,Developing research,Improving the coordination
the objective,attractive to the best,infrastructure of,of national programmes
"",researchers,European interest,
very important,73.6%,43.4%,43%
Important,22.5%,42.4%,41.5%
not important,1.9%,5.7%,7.5%
Unnecessary,0.8%,1.4%,2.9%
don't know,1.1%,6.9%,5%
